,description
0,120 litre wheelie bin/drum
1,240 litre wheelie bin/drum
2,360 litre wheelie bin/drum
3,660 litre wheelie bin/drum
4,760 litre wheelie bin/drum
5,1100 litre wheelie bin/drum
6,0.05 cu metre bag/container (50L)
7,0.1 cu metre bag/container (100L)
8,0.25cu metre bag/container
9,1cu metre bag/container
10,1 cu yd bag (0.76 cu metre)
11,1.5 cu yd bag (1.15 cu metre)
12,2 cu yd skip (1.5 cu metre)
13,3 cu yd skip (2.3 cu metre)
14,4 cu yd skip (3 cu metre)
15,6 cu yd skip (4.6 cu metre)
16,7 cu yd skip (5.4 cu metre)
17,8 cu yd skip (6.1 cu metre)
18,9 cu yd skip (6.9 cu metre)
19,10 cu yd skip (7.6 cu metre)
20,12 cu yd skip (9.2 cu metre)
21,14 cu yd skip (10.7 cu metre)
22,15 cu yd skip (11.5 cu metre)
23,16 cu yd skip (12.2 cu metre)
24,18 cu yd skip (13.8 cu metre)
25,20 cu yd container RORO (15.3 cu metre)
26,25 cu yd container (19.1 cu metre)
27,30 cu yd container (22.9 cu metre)
28,35 cu yd container (26.8 cu metre)
29,40 cu yd container RORO (30.6 cu metre)
30,45 cu yd container (34.4 cu metre)
31,55 cu yd container (42.1 cu metre)
32,35cu metre container
33,40cu metre container
34,Tanker waste (multiples of 500 litres)
35,Tanker waste (multiples of 500 gallons/2273litres)
36,4cu metre truck (5.23cu yd)
37,6cu metre truck (7.85cu yd)
38,8cu metre truck (10.46cu yd)
39,10cu metre truck (13.08cu yd)
40,12cu metre truck
41,15cu metre truck (19.62cu yd)
42,18.2cu metre truck
43,20cu metre truck (26.2cu yd)
44,10 cu yd truck (7.6 cu metre)
45,20 cu yd truck (15.3 cu metre)
46,12cu metre 6 wheeler tipper
47,15cu metre 8 wheeler tipper
48,57cu metre bulker tipper
49,Stockpile on-site (multiples of 1 cu metre)
50,Fluorescent tube container (0.15cu metre)
51,1 Litre tin/container
52,3.75 litre container
53,5KG Lead acid batteries
54,Refrigerant canister (10 L)
55,10 litre portable toilet
56,12.5 litre container
57,Barge (1000 cu metre)
58,Train (1500 cu metre)
59,205 litre drum
60,27cu metre static compactor
